	correlation with metacell	method	celltype
0	0.29164897665620954	Raw	AC
1	0.32656614652349053	Raw	AC
2	0.3492918328273551	Raw	AC
3	0.3033610286209093	Raw	AC
4	0.28842260423606036	Raw	AC
5	0.3916673278130502	Raw	AC
6	0.28572896754611987	Raw	AC
7	0.25790170080089797	Raw	AC
8	0.2793007387085702	Raw	AC
9	0.38423734494020045	Raw	AC
10	0.247401970393605	Raw	AC
11	0.3024879597130278	Raw	AC
12	0.3751012360563437	Raw	AC
13	0.2778479178229116	Raw	AC
14	0.32069063308172746	Raw	AC
15	0.3143997645049116	Raw	AC
16	0.2945565381854374	Raw	AC
17	0.19953319975943265	Raw	AC
18	0.3239561316980044	Raw	AC
19	0.22430630857734762	Raw	AC
20	0.19482677410975155	Raw	AC
21	0.2381225486868317	Raw	AC
22	0.30058701717795316	Raw	AC
23	0.3583035509083915	Raw	AC
24	0.23956416201009068	Raw	AC
25	0.3353982669623475	Raw	AC
26	0.2708872354019196	Raw	AC
27	0.32979823447649165	Raw	AC
28	0.23756442621023027	Raw	AC
29	0.2982271690223188	Raw	AC
30	0.37192498196825224	Raw	AC
31	0.2615359371733178	Raw	AC
32	0.2534097944546421	Raw	AC
33	0.3015615981459681	Raw	AC
34	0.3030773250564712	Raw	AC
35	0.21915974140966946	Raw	AC
36	0.3122512450091681	Raw	AC
37	0.2874269402576161	Raw	AC
38	0.27205892875269594	Raw	AC
39	0.3114384812784699	Raw	AC
40	0.3240164533351159	Raw	AC
41	0.2984093608692588	Raw	AC
42	0.2973467326067893	Raw	AC
43	0.3029251239698347	Raw	AC
44	0.2501817160494884	Raw	AC
45	0.2744903137226479	Raw	AC
46	0.23995307014399656	Raw	AC
47	0.25283890713477486	Raw	AC
48	0.30773424455045617	Raw	AC
49	0.20662858329130676	Raw	AC
50	0.24355048113206826	Raw	AC
51	0.26455162467151006	Raw	AC
52	0.25285933596509697	Raw	AC
53	0.3475547448026392	Raw	AC
54	0.3127478221846863	Raw	AC
55	0.2605633733384988	Raw	AC
56	0.292786531814663	Raw	AC
57	0.24593115270050164	Raw	AC
58	0.2687626358770268	Raw	AC
59	0.32577767735162294	Raw	AC
60	0.19646858732162165	Raw	AC
61	0.2861843946815656	Raw	AC
62	0.2350024304218412	Raw	AC
63	0.2206206489348841	Raw	AC
64	0.30189494246078996	Raw	AC
65	0.2119500507036197	Raw	AC
66	0.22332784819474408	Raw	AC
67	0.19294750721903328	Raw	AC
68	0.2576924800187155	Raw	AC
69	0.28525682433161903	Raw	AC
70	0.26019040699090096	Raw	AC
71	0.27447313609271107	Raw	AC
72	0.25763614563111725	Raw	AC
73	0.2613834287209183	Raw	AC
74	0.22070921121408732	Raw	AC
75	0.264422390381285	Raw	AC
76	0.24097381928249467	Raw	AC
77	0.3094768186861747	Raw	AC
78	0.379857955126658	Raw	AC
79	0.3205880527213644	Raw	AC
80	0.3575951853680653	Raw	AC
81	0.2843126338680665	Raw	AC
82	0.31040529728176774	Raw	AC
83	0.36720104768631595	Raw	AC
84	0.34909320314854514	Raw	AC
85	0.28907161827522954	Raw	AC
86	0.31782547788416865	Raw	AC
87	0.2822105837928342	Raw	AC
88	0.345232313498148	Raw	AC
89	0.2091640125929684	Raw	AC
90	0.334246314427675	Raw	AC
91	0.24154365781897016	Raw	AC
92	0.27254823593372396	Raw	AC
93	0.1843392611471125	Raw	AC
94	0.3553122358055379	Raw	AC
95	0.26310751466774235	Raw	AC
96	0.29943331161465225	Raw	AC
97	0.3211329377585715	Raw	AC
98	0.2520848736455875	Raw	AC
99	0.24916526142613835	Raw	AC
100	0.22243976288947873	Raw	AC
101	0.23394934016907398	Raw	AC
102	0.19942798951609358	Raw	AC
103	0.27732001772468584	Raw	AC
104	0.2623011700480274	Raw	AC
105	0.15937865959446434	Raw	AC
106	0.27001940461446566	Raw	AC
107	0.14333738036099727	Raw	AC
108	0.29947106289713504	Raw	AC
109	0.22032231033700586	Raw	AC
110	0.28611109739718404	Raw	AC
111	0.1584395454378013	Raw	AC
112	0.2846474213502412	Raw	AC
113	0.24893583920322426	Raw	AC
114	0.24970918195275751	Raw	AC
115	0.2427896429349389	Raw	AC
116	0.3105904114525838	Raw	AC
117	0.16565595362409183	Raw	AC
118	0.24051943844981027	Raw	AC
119	0.23595135315732454	Raw	AC
120	0.27180829125621786	Raw	EX1
121	0.2315101279207753	Raw	EX1
122	0.1590317378266315	Raw	EX1
123	0.21402882146353427	Raw	EX1
124	0.22082786983800679	Raw	EX1
125	0.2228943745932966	Raw	EX1
126	0.19819602418522897	Raw	EX1
127	0.1917459323768988	Raw	EX1
128	0.19481446681039213	Raw	EX1
129	0.1791245887648842	Raw	EX1
130	0.19626839897170656	Raw	EX1
131	0.21088399319347592	Raw	EX1
132	0.2152908961229571	Raw	EX1
133	0.20218091025829327	Raw	EX1
